File Name,Main mission,Sub mission,Academic Summary,Link sub folder
รวมเล่ม 10 เทคนิค GPT.pdf,กลุ่มที่ 4: การพัฒนาระบบนิเวศการเรียนรู้ดิจิทัลและเทคโนโลยีสารสนเทศเพื่อการนิเทศการศึกษา,4.2 การพัฒนาระบบอัตโนมัติและเครื่องมือช่วยปฏิบัติงาน (การเขียนสคริปต์/โค้ด/ระบบอัตโนมัติ),เป็นการถอดประสบการณ์ของศึกษานิเทศก์ในการทดลองสร้างและพัฒนาเทคนิคการเขียน Prompt 10 รูปแบบ เพื่อเป็นเครื่องมือช่วยครูผู้สอนในการสกัดไอเดียเชิงนวัตกรรม เช่น การเขียนแผนการจัดการเรียนรู้ การสร้างหลักสูตร และการทำวิจัยในชั้นเรียนได้อย่างเฉพาะเจาะจง,https://drive.google.com/drive/folders/12npSm4gurZQZymD0KIj0syAIRYTQiEF1?usp=sharing
รวมเล่ม active local modern final.pdf,กลุ่มที่ 1: การพัฒนานวัตกรรมและองค์ความรู้เฉพาะทางในการนิเทศการศึกษา,"1.1 เอกสารวิชาการประเภท ""คู่มือและแนวทางการนิเทศ""",นวัตกรรมคู่มือปฏิบัติการสำหรับศึกษานิเทศก์และครู เพื่อขับเคลื่อนนโยบายปฏิรูปการศึกษาปี 2568 โดยเชื่อมโยงกรอบมาตรฐานพฤติกรรม Active Learning เข้ากับ 10 ต้นแบบกิจกรรมเชิงรุกตามบริบทท้องถิ่นเชียงใหม่ร่วมสมัยและการประเมินแนวใหม่,https://drive.google.com/drive/folders/1rMBq7XiQFJBOZsH7W5O8Ys1MwdYDbU3K?usp=sharing
รวมเล่ม AI for science final.pdf,กลุ่มที่ 4: การพัฒนาระบบนิเวศการเรียนรู้ดิจิทัลและเทคโนโลยีสารสนเทศเพื่อการนิเทศการศึกษา,4.1 เอกสารวิชาการและสื่อการเรียนรู้ดิจิทัลในรูปแบบไฟล์คงรูป (PDF/e-Book),"คลังความรู้อัจฉริยะและแนวทางการใช้เครื่องมือ Open AI (เช่น ChatGPT, Claude) ในการออกแบบกิจกรรมการเรียนรู้และเกณฑ์การประเมิน (Rubrics) ที่ช่วยหนุนเสริมสมรรถนะวิทยาศาสตร์ของนักเรียนตามกรอบ PISA 2025 โดยใช้สถานการณ์จริงรอบตัวเป็นสิ่งเร้า",https://drive.google.com/drive/folders/1k0eNO-0kkMyYEvHbEJ12LLxqDdEujTCW?usp=sharing
รวมเล่ม ChatGPT for director.pdf,กลุ่มที่ 2: การพัฒนาวิชาชีพและหนุนเสริมศักยภาพครูผ่านกระบวนการนิเทศแบบร่วมมือ,2.1 หลักสูตรและสื่อการพัฒนาวิชาชีพครู (เช่น เอกสารประกอบการจัดเวิร์กชอป),เอกสารข้อเสนอแนะและไอเดียต้นแบบการใช้ ChatGPT สำหรับผู้บริหารสถานศึกษา เพื่อเป็นสื่อในการวางแผนกิจกรรม พัฒนาวิชาชีพครูอย่างมืออาชีพในเรื่องกลยุทธ์ Active Learning และส่งเสริมสมรรถนะด้านเทคโนโลยีดิจิทัลเชิงระบบให้แก่นักเรียน,https://drive.google.com/drive/folders/1XTdr4mmlwkj8wnRVMpYYiECGwHSYoY4H?usp=sharing
รวมเล่ม ChatGPT for parent.pdf,กลุ่มที่ 2: การพัฒนาวิชาชีพและหนุนเสริมศักยภาพครูผ่านกระบวนการนิเทศแบบร่วมมือ,2.1 หลักสูตรและสื่อการพัฒนาวิชาชีพครู (เช่น เอกสารประกอบการจัดเวิร์กชอป),สื่อการเรียนรู้เชิงแนวคิดสำหรับผู้ปกครองในการประยุกต์ใช้ ChatGPT เป็นพี่เลี้ยงช่วยสอนและเพื่อนคู่คิดเพื่อหนุนเสริมการเรียนรู้ของบุตรหลาน ครอบคลุมทั้งการช่วยทำการบ้าน งานวิจัย การฝึกภาษา และการกระตุ้นทักษะการคิดอย่างมีวิจารณญาณ (Media Literacy),https://drive.google.com/drive/folders/1XTdr4mmlwkj8wnRVMpYYiECGwHSYoY4H?usp=sharing
รวมเล่ม ChatGPT for Student.pdf,กลุ่มที่ 2: การพัฒนาวิชาชีพและหนุนเสริมศักยภาพครูผ่านกระบวนการนิเทศแบบร่วมมือ,2.1 หลักสูตรและสื่อการพัฒนาวิชาชีพครู (เช่น เอกสารประกอบการจัดเวิร์กชอป),สื่อไอเดียและแนวทางสำหรับนักเรียนในการใช้ ChatGPT เป็นเครื่องมือสังเคราะห์ข้อมูลและแหล่งเรียนรู้อัจฉริยะยุคใหม่ เพื่อกระตุ้นทักษะการคิดวิพากษ์และการรู้เท่าทันสื่อ (Media Literacy) ให้เท่าทันความก้าวหน้าทางเทคโนโลยี,https://drive.google.com/drive/folders/1XTdr4mmlwkj8wnRVMpYYiECGwHSYoY4H?usp=sharing
รวมเล่ม ChatGPT for Supervisor.pdf,กลุ่มที่ 1: การพัฒนานวัตกรรมและองค์ความรู้เฉพาะทางในการนิเทศการศึกษา,2.1 หลักสูตรและสื่อการพัฒนาวิชาชีพครู (เช่น เอกสารประกอบการจัดเวิร์กชอป),คู่มือเชิงแนวคิดและนวัตกรรมการนิเทศการศึกษาสำหรับศึกษานิเทศก์ในการนำ ChatGPT มาประยุกต์ใช้เป็นเพื่อนคู่คิดเพื่อขับเคลื่อนงานวิเทศสัมพันธ์ งานวิชาการ และงานนิเทศติดตามสถานศึกษาอย่างชาญฉลาด,https://drive.google.com/drive/folders/1XTdr4mmlwkj8wnRVMpYYiECGwHSYoY4H?usp=sharing
รวมเล่ม ChatGPT for Teacher.pdf,กลุ่มที่ 2: การพัฒนาวิชาชีพและหนุนเสริมศักยภาพครูผ่านกระบวนการนิเทศแบบร่วมมือ,2.1 หลักสูตรและสื่อการพัฒนาวิชาชีพครู (เช่น เอกสารประกอบการจัดเวิร์กชอป),สื่อการพัฒนาวิชาชีพที่มุ่งสร้างความเข้าใจให้แก่ครูผู้สอนในการประยุกต์ใช้ ChatGPT เพื่อเป็นเครื่องมือช่วยปฏิรูปห้องเรียน ทั้งการออกแบบหลักสูตร การเขียนแผนจัดการเรียนรู้ และการสร้างนวัตกรรมสื่อการสอน,https://drive.google.com/drive/folders/1XTdr4mmlwkj8wnRVMpYYiECGwHSYoY4H?usp=sharing
รวมเล่ม ChatGPT กับการวัดผลในชั้นเรียน.pdf,กลุ่มที่ 1: การพัฒนานวัตกรรมและองค์ความรู้เฉพาะทางในการนิเทศการศึกษา,1.2 เครื่องมือการวัดและประเมินผลต้นแบบ,คู่มือเทคนิคการใช้ ChatGPT เป็นนวัตกรรมหนุนเสริมการวัดและประเมินผลตามสภาพจริงในชั้นเรียน เพื่อช่วยครูผู้สอนสร้างเครื่องมือวัดผลที่มีประสิทธิภาพและช่วยยกระดับคุณภาพผู้เรียนสู่การเป็นพลเมืองโลก,https://drive.google.com/drive/folders/1nE74WgwPM3qwR5Z9KMP_1XUyYnYfZFMu?usp=sharing
รวมเล่ม visual rubrics final.pdf,กลุ่มที่ 1: การพัฒนานวัตกรรมและองค์ความรู้เฉพาะทางในการนิเทศการศึกษา,1.2 เครื่องมือการวัดและประเมินผลต้นแบบ,"คลังนวัตกรรมการประเมินเพื่อพัฒนาการเรียนรู้ (Assessment for Learning) ของคณะครูจังหวัดเชียงใหม่ ผ่านเครื่องมือต้นแบบ ""Visual Rubrics"" ที่ใช้ภาพ สี และสัญลักษณ์เพื่อสื่อสารเกณฑ์การวัดผลให้เข้าใจง่ายและเป็นรูปธรรม",https://drive.google.com/drive/folders/1nE74WgwPM3qwR5Z9KMP_1XUyYnYfZFMu?usp=sharing
